"","Contains fear","containes excitement"
"advantages",0.243496105074883,0.756503880023956
"advent",0.233792617917061,0.766207337379456
"adversarial",0.574939966201782,0.425060033798218
"adversary",0.678609251976013,0.321390718221664
"advertisement",0.0838032811880112,0.916196703910828
"advertiser",0.13746802508831,0.862532019615173
"advertising",0.108504936099052,0.891495048999786
"advice",0.475213706493378,0.524786233901978
"advise",0.0329889617860317,0.967011034488678
"advised",0.273061335086823,0.726938664913177
"adviser",0.113405577838421,0.886594414710999
"advising",0.0369838252663612,0.963016211986542
"advisor",0.174342945218086,0.825657069683075
"advisory",0.329011261463165,0.670988738536835
"advocate",0.0845484882593155,0.915451526641846
"advocated",0.0746746063232422,0.925325393676758
"advocates",0.16171133518219,0.83828866481781
"aerial",0.0659627020359039,0.934037268161774
"aeronautical",0.100917972624302,0.899082064628601
"aerospace",0.0764433890581131,0.923556625843048
"aesthetic",0.174571856856346,0.825428128242493
"affable",0.250230103731155,0.749769866466522
"affair",0.0373450554907322,0.962654948234558
"affect",0.244367107748985,0.755632877349854
"affected",0.906854033470154,0.0931459367275238
"affecting",0.343963116407394,0.656036913394928
"affiliate",0.101456336677074,0.898543655872345
"affiliates",0.0851443260908127,0.914855718612671
"affiliation",0.206882551312447,0.793117463588715
"affirm",0.0315956175327301,0.968404412269592
"afford",0.159606859087944,0.84039318561554
"affordable",0.136560842394829,0.863439202308655
"affording",0.0549237355589867,0.94507622718811
"afghanistan",0.426129698753357,0.573870360851288
"afloat",0.443904429674149,0.556095600128174
"aforementioned",0.368091523647308,0.631908416748047
"afp",0.201218023896217,0.798781991004944
"afraid",0.981265723705292,0.0187342911958694
"africa",0.184428557753563,0.815571427345276
"african",0.465594470500946,0.534405529499054
"afternoon",0.107827067375183,0.892172873020172
"afterthought",0.46267169713974,0.537328362464905
"aftra",0.15534919500351,0.84465080499649
"ag",0.141372367739677,0.858627617359161
"age",0.146626010537148,0.853374004364014
"agency",0.0990148782730103,0.90098512172699
"agenda",0.126651912927628,0.873348116874695
"agent",0.134388372302055,0.865611672401428
"aggregate",0.155374005436897,0.844626009464264
"aggregated",0.618811368942261,0.381188601255417
"aggregating",0.601854622364044,0.398145407438278
"aggregation",0.203267350792885,0.796732664108276
"aggression",0.799777567386627,0.200222417712212
"aggressive",0.144107550382614,0.855892479419708
"aggressively",0.146681994199753,0.85331803560257
"aggressiveness",0.19954976439476,0.800450265407562
"agi",0.132704809308052,0.867295265197754
"agile",0.705445349216461,0.294554650783539
"aging",0.185985565185547,0.814014434814453
"agm",0.232815310359001,0.767184674739838
"ago",0.124751716852188,0.87524825334549
"agre",0.435354173183441,0.564645826816559
"agree",0.0570942759513855,0.942905724048615
"agreed",0.0487076230347157,0.951292335987091
"agreeing",0.0351474583148956,0.964852511882782
"agreement",0.0306465700268745,0.969353437423706
"agreeto",0.118582658469677,0.881417334079742
"agricultural",0.146999806165695,0.853000223636627
"agriculture",0.165680065751076,0.83432000875473
"ahead",0.0389500260353088,0.961049914360046
"ahmed",0.213505461812019,0.786494553089142
"ai",0.102880083024502,0.897119879722595
"aiabout",0.158942669630051,0.841057360172272
"aicio",0.180689498782158,0.819310486316681
"aicredit",0.398126631975174,0.601873397827148
"aid",0.160183072090149,0.839816927909851
"aided",0.168935418128967,0.831064581871033
"aiden",0.124336875975132,0.875663161277771
"aiding",0.305223673582077,0.694776296615601
"ailment",0.158673271536827,0.841326713562012
"aim",0.116737462580204,0.883262574672699
"aimed",0.276209026575089,0.723790943622589
"aiming",0.249425143003464,0.750574827194214
"air",0.0406628921627998,0.959337055683136
"airborne",0.184095248579979,0.815904796123505
"aircraft",0.0603925995528698,0.939607381820679
"aircrew",0.105534330010414,0.894465684890747
"airing",0.0330066420137882,0.96699333190918
"airline",0.105743393301964,0.89425665140152
"airlines",0.106355123221874,0.893644869327545
"airpods",0.117168791592121,0.882831156253815
"airspace",0.0786976516246796,0.921302378177643
"aisle",0.148698449134827,0.851301550865173
"aite",0.180698901414871,0.819301068782806
"aitken",0.24450808763504,0.755491852760315
"aka",0.153758242726326,0.846241772174835
"al",0.124062813818455,0.875937223434448
"aladdin",0.0915579274296761,0.908442080020905
"alan",0.121136263012886,0.878863751888275
"alappuzha",0.222639590501785,0.777360439300537
"alarm",0.372696071863174,0.627303957939148
"alarmed",0.3265181183815,0.6734818816185
"alarming",0.0450668781995773,0.954933106899261
"albin",0.272821575403214,0.727178454399109
"album",0.0838399156928062,0.916160106658936
"aleatoric",0.183632880449295,0.816367149353027
"alert",0.0253972131758928,0.97460275888443
"alerted",0.0360186621546745,0.963981330394745
"alessandro",0.14078813791275,0.85921186208725
"alexa",0.185301572084427,0.814698457717896
"alexander",0.225236549973488,0.774763464927673
"alexandra",0.217464596033096,0.782535374164581
"alexandria",0.186601921916008,0.813398063182831
"alexis",0.183516412973404,0.816483557224274
"alexnet",0.185364276170731,0.814635753631592
"algorithm",0.215502634644508,0.784497380256653
"algorithmic",0.270824640989304,0.729175388813019
"ali",0.125434711575508,0.874565243721008
"alien",0.638655483722687,0.361344516277313
"align",0.135608837008476,0.864391207695007
"alignment",0.31670281291008,0.683297157287598
"alike",0.0698358118534088,0.930164158344269
"alive",0.11122877150774,0.888771235942841
"allai",0.139180347323418,0.860819697380066
"allegation",0.476238429546356,0.523761570453644
"allegedly",0.570355653762817,0.429644376039505
"alleging",0.679994761943817,0.320005238056183
"allen",0.260926008224487,0.739073991775513
"alleviate",0.122475847601891,0.877524137496948
"alleviates",0.564814865589142,0.435185074806213
"alleviating",0.46396866440773,0.536031365394592
"alliance",0.0141770206391811,0.985822975635529
"allied",0.322485566139221,0.677514433860779
"allocation",0.194003850221634,0.805996119976044
"allowed",0.171640187501907,0.82835978269577
"allowing",0.0251943413168192,0.97480571269989
"ally",0.11938651651144,0.880613446235657
"allyson",0.208927899599075,0.791072070598602
"alongside",0.0890238359570503,0.91097617149353
"alpaca",0.242301285266876,0.757698714733124
"alpha",0.115678057074547,0.884321928024292
"alphabet",0.225105345249176,0.774894654750824
"alphabetical",0.257727473974228,0.742272555828094
"alphago",0.205595463514328,0.794404566287994
"alter",0.415195852518082,0.584804117679596
"alteration",0.544298112392426,0.455701947212219
"altered",0.504472970962524,0.495527029037476
"altering",0.713507056236267,0.286492913961411
"alternative",0.429020434617996,0.570979595184326
"alternatively",0.311453372240067,0.688546597957611
"alternatives",0.429263472557068,0.570736527442932
"althoff",0.618608474731445,0.381391495466232
"altman",0.207144677639008,0.792855322360992
"alto",0.177204787731171,0.822795152664185
"altogether",0.116133071482182,0.883866965770721
"alumnus",0.199239686131477,0.800760328769684
"alzheimer",0.374570250511169,0.625429689884186
"amazed",0.302716583013535,0.697283446788788
"amazing",0.0068906070664525,0.993109405040741
"amazon",0.143882170319557,0.856117784976959
"amazoncom",0.19212581217289,0.807874143123627
"amber",0.113611683249474,0.886388301849365
"ambient",0.197003424167633,0.802996575832367
"ambiguous",0.184123814105988,0.815876185894012
"ambition",0.157882079482079,0.842117965221405
"ambitious",0.0103276772424579,0.989672303199768
"ambitiously",0.533531785011292,0.466468214988708
"amd",0.161143898963928,0.838856101036072
"amended",0.252783477306366,0.747216522693634
"amendment",0.348478883504868,0.65152108669281
"america",0.250287145376205,0.749712884426117
"american",0.185221761465073,0.814778208732605
"amherst",0.229815170168877,0.770184814929962
"amid",0.494778424501419,0.505221605300903
"amidst",0.427691727876663,0.572308242321014
"amnesia",0.777494847774506,0.222505211830139
"amount",0.242467612028122,0.7575324177742
"ampere",0.383275300264359,0.616724669933319
"amplify",0.246831625699997,0.753168344497681
"amzn",0.159230411052704,0.840769588947296
"amzno",0.212553173303604,0.787446856498718
"analog",0.260867178440094,0.739132881164551
"analogy",0.259625047445297,0.740374982357025
"analyse",0.200849205255508,0.799150764942169
"analysing",0.342620670795441,0.657379388809204
"analysis",0.357755392789841,0.642244637012482
"analyst",0.673054158687592,0.326945811510086
"analytic",0.287810325622559,0.712189674377441
"analytical",0.270397901535034,0.729602038860321
"analyze",0.12399934232235,0.876000702381134
"analyzed",0.192444086074829,0.807555913925171
"analyzes",0.183498471975327,0.816501498222351
"analyzing",0.134386345744133,0.865613698959351
"anchor",0.234774485230446,0.765225529670715
"anchored",0.316012442111969,0.683987617492676
"anchoring",0.252410590648651,0.747589468955994
"andrea",0.25242617726326,0.747573792934418
"andreessen",0.263012170791626,0.736987829208374
"andrew",0.196062088012695,0.803937911987305
"android",0.0628417953848839,0.937158226966858
"andy",0.100002631545067,0.899997353553772
"anecdotal",0.554904103279114,0.445095866918564
"anesthetic",0.157101482152939,0.842898547649384
"angel",0.194465354084969,0.805534720420837
"anger",0.509365320205688,0.490634679794312
"angered",0.843204498291016,0.156795486807823
"angle",0.109704025089741,0.89029598236084
"angry",0.641691744327545,0.358308255672455
"animal",0.10162303596735,0.898376941680908
"animation",0.0323290452361107,0.967670977115631
"ann",0.127029225230217,0.872970759868622
"anna",0.138527438044548,0.861472606658936
"annie",0.13028022646904,0.869719743728638
"annihilation",0.729367852210999,0.270632117986679
"anniversary",0.0795236080884933,0.92047643661499
"announce",0.0305410418659449,0.969458937644958
"announced",0.0465900078415871,0.953409969806671
"announcement",0.0439334213733673,0.956066608428955
"announcing",0.0150492191314697,0.984950721263885
"annual",0.147086352109909,0.852913677692413
"annualized",0.168207675218582,0.83179235458374
"annually",0.0958362221717834,0.904163777828217
"anomaly",0.884998798370361,0.11500122398138
"anonymity",0.359789997339249,0.640210032463074
"anonymizes",0.499817281961441,0.500182688236237
"anonymous",0.356409758329391,0.643590211868286
"answer",0.131027266383171,0.868972718715668
"answered",0.462216883897781,0.537783145904541
"answering",0.592864155769348,0.407135814428329
"ante",0.124915733933449,0.875084221363068
"anthropic",0.0896637812256813,0.910336256027222
"anthrupad",0.29881739616394,0.701182544231415
"anti",0.287120848894119,0.712879121303558
"anticipate",0.0176775082945824,0.982322514057159
"anticipated",0.114737778902054,0.885262191295624
"anticipation",0.0168678872287273,0.983132064342499
"antitrust",0.464966386556625,0.535033583641052
"antony",0.135790809988976,0.864209175109863
"anuta",0.204208880662918,0.79579108953476
"anxiety",0.982146143913269,0.0178538635373116
"anxious",0.448706835508347,0.551293194293976
"anytime",0.139760702848434,0.860239267349243
"ap",0.126212671399117,0.873787403106689
"apache",0.159532979130745,0.840467035770416
"aparna",0.261360168457031,0.738639831542969
"apis",0.190767884254456,0.809232115745544
"apocalyptic",0.921923577785492,0.0780764147639275
"apolitical",0.41606405377388,0.583935916423798
"apologizes",0.726667046546936,0.273332983255386
"app",0.0846569463610649,0.915343046188354
"apparent",0.0631601810455322,0.936839818954468
"apparently",0.0549501143395901,0.94504988193512
"appeal",0.0292410887777805,0.97075891494751
"appear",0.0543356202542782,0.945664346218109
"appearance",0.0761020332574844,0.923897922039032
"appeared",0.185421898961067,0.814578056335449
"appearing",0.0356785617768764,0.964321494102478
"appeasement",0.542411208152771,0.457588791847229
"appendix",0.203047320246696,0.796952724456787
"apperception",0.26225882768631,0.737741112709045
"appetite",0.125754594802856,0.874245405197144
"apple",0.0645518377423286,0.935448229312897
"applicable",0.340311825275421,0.659688234329224
"applicant",0.161173418164253,0.838826596736908
"application",0.0756272226572037,0.924372792243958
"applied",0.11599538475275,0.884004592895508
"apply",0.153617709875107,0.846382260322571
"applying",0.142312198877335,0.857687830924988
"appointed",0.0687401592731476,0.93125981092453
"appointing",0.0144872963428497,0.985512673854828
"appointment",0.0170551221817732,0.982944905757904
"appreciation",0.0121731152758002,0.987826883792877
"approach",0.0174164976924658,0.982583582401276
"approached",0.0226282794028521,0.977371692657471
"approaching",0.0141183203086257,0.985881686210632
"appropriated",0.458374172449112,0.541625797748566
"approval",0.0134305180981755,0.986569464206696
"approve",0.0274305436760187,0.972569406032562
"approved",0.0534769780933857,0.946523010730743
"approving",0.00601907866075635,0.993980944156647
"approximate",0.112523511052132,0.887476444244385
"approximately",0.115029692649841,0.884970307350159
"apr",0.159234389662743,0.840765595436096
"april",0.379278779029846,0.620721220970154
"apstra",0.237765416502953,0.762234568595886
"apus",0.176045000553131,0.823954999446869
"ar",0.13133604824543,0.868663907051086
"arab",0.257484406232834,0.742515563964844
"arabia",0.243152186274529,0.75684779882431
"arc",0.199340298771858,0.800659656524658
"archie",0.240866497159004,0.759133517742157
"architecture",0.160716012120247,0.839284002780914
"archive",0.146249607205391,0.853750348091125
"aren",0.150500997900963,0.849499046802521
"arena",0.227501481771469,0.772498488426208
"arguably",0.0962584763765335,0.903741538524628
"argue",0.307306110858917,0.692693889141083
"argued",0.322209656238556,0.677790284156799
"argues",0.296420603990555,0.703579425811768
"argument",0.465457230806351,0.534542739391327
"ariana",0.161901459097862,0.838098526000977
"arief",0.589541673660278,0.410458356142044
"arion",0.209758803248405,0.790241181850433
"arise",0.169883027672768,0.830116987228394
"arising",0.0709142088890076,0.929085850715637
"arizona",0.172680079936981,0.827319979667664
"ark",0.131493419408798,0.868506550788879
"arm",0.131033003330231,0.868966937065125
"armed",0.104995749890804,0.895004212856293
"armored",0.509878933429718,0.490121066570282
"army",0.390620321035385,0.609379708766937
"arose",0.462273210287094,0.537726759910583
"arr",0.130563139915466,0.869436800479889
"arrange",0.578855037689209,0.421144932508469
"array",0.187008261680603,0.812991738319397
"arrested",0.627002418041229,0.372997552156448
"arrival",0.139476016163826,0.860523998737335
"arrive",0.0236135348677635,0.976386487483978
"arrived",0.706692397594452,0.293307602405548
"arrow",0.197629794478416,0.802370190620422
"arsenal",0.466067522764206,0.533932566642761
"art",0.0705478489398956,0.929452180862427
"article",0.0960342213511467,0.903965771198273
"articles",0.0796172544360161,0.920382738113403
"articulate",0.0791374817490578,0.920862555503845
"artificial",0.140823066234589,0.859176933765411
"artificiali",0.156251966953278,0.843748033046722
"artificially",0.166450709104538,0.833549320697784
"artillery",0.104767493903637,0.895232498645782
"artist",0.070909209549427,0.929090797901154
"artistic",0.146593481302261,0.853406488895416
"artwork",0.0890666022896767,0.910933375358582
"aruba",0.15922985970974,0.840770125389099
"ascension",0.140727281570435,0.859272718429565
"ascent",0.135658517479897,0.86434143781662
"asd",0.138311222195625,0.861688733100891
"ash",0.192168354988098,0.807831704616547
"ashley",0.232772052288055,0.767227947711945
"asia",0.0836970806121826,0.916302919387817
"asian",0.147407218813896,0.852592825889587
"asic",0.269291460514069,0.730708539485931
"asics",0.196477964520454,0.803521990776062
"aspect",0.103917181491852,0.896082818508148
"assay",0.207391068339348,0.792608976364136
"assembled",0.139293342828751,0.860706686973572
"assembler",0.244359701871872,0.755640268325806
"assembling",0.271248638629913,0.728751420974731
"assembly",0.126756817102432,0.873243153095245
"assert",0.130917504429817,0.869082450866699
"asses",0.192138880491257,0.807861089706421
"assessed",0.466427981853485,0.533572018146515
"assessing",0.397308737039566,0.602691292762756
"assessment",0.287583380937576,0.712416589260101
"asset",0.344887644052505,0.655112385749817
"assigning",0.243376985192299,0.756623029708862
"assignment",0.264935582876205,0.735064446926117
"assimilate",0.0337519012391567,0.966248095035553
"assist",0.400643944740295,0.599356114864349
"assistance",0.189687728881836,0.810312271118164
"assistant",0.170326218008995,0.829673826694489
"assisted",0.0906343162059784,0.909365713596344
"associate",0.14475005865097,0.855249881744385
"associates",0.157627582550049,0.842372417449951
"association",0.112939693033695,0.887060344219208
"assume",0.1794663220644,0.820533633232117
"assumed",0.180662915110588,0.819337069988251
"assumes",0.220352813601494,0.779647171497345
"assuming",0.111953914165497,0.888046145439148
"assumption",0.075416587293148,0.924583435058594
"assurance",0.0857532247900963,0.914246737957001
"astounding",0.238670319318771,0.761329650878906
"asu",0.0968392863869667,0.903160750865936
"asymmetry",0.679022431373596,0.320977598428726
"athletes",0.0177367683500051,0.982263207435608
"atlanta",0.171133041381836,0.828866899013519
"atlantic",0.144117712974548,0.855882227420807
"atlassian",0.19156251847744,0.808437466621399
"atmosphere",0.0661759674549103,0.933824002742767
"atom",0.119371436536312,0.880628526210785
"atomic",0.070219598710537,0.929780423641205
"atop",0.237076550722122,0.7629234790802
"attached",0.367074906826019,0.632925152778625
"attachment",0.239142313599586,0.760857760906219
"attack",0.667610585689545,0.332389414310455
"attacked",0.71300882101059,0.28699117898941
"attacker",0.347117036581039,0.652882993221283
"attain",0.398041218519211,0.601958751678467
"attained",0.33930030465126,0.660699725151062
"attempt",0.514392375946045,0.485607594251633
"attempted",0.455083042383194,0.544916987419128
"attend",0.0575447678565979,0.942455232143402
"attendance",0.016446815803647,0.983553230762482
"attendees",0.0236255023628473,0.976374506950378
"attending",0.135469675064087,0.864530324935913
"attention",0.0467419512569904,0.953258037567139
"attest",0.209475964307785,0.790524065494537
"attitude",0.096736453473568,0.903263568878174
"attitudes",0.258554518222809,0.741445422172546
"attorney",0.102956026792526,0.897043943405151
"attract",0.298882812261581,0.701117157936096
"attracted",0.435362279415131,0.564637720584869
"attracting",0.505103170871735,0.494896769523621
"attraction",0.290403664112091,0.709596335887909
"attractive",0.0599956996738911,0.940004289150238
"attribute",0.243506908416748,0.756493091583252
"attributed",0.215243145823479,0.784756898880005
"attributes",0.0656577572226524,0.934342265129089
"atxsg",0.185404002666473,0.814595997333527
"audacious",0.0498183071613312,0.950181663036346
"audience",0.0147023890167475,0.985297620296478
"audio",0.0733390226960182,0.92666095495224
"audit",0.0596464835107327,0.940353512763977
"auditing",0.0379847176373005,0.962015271186829
"auditor",0.0906802117824554,0.909319818019867
"aug",0.133329629898071,0.866670310497284
"augment",0.190032079815865,0.809967935085297
"augmentation",0.163084536790848,0.836915493011475
"augmented",0.297674566507339,0.702325463294983
"august",0.0918442904949188,0.908155679702759
"aukus",0.184025645256042,0.815974354743958
"aura",0.0784905925393105,0.921509385108948
"aurora",0.0795977711677551,0.920402228832245
"aus",0.317162722349167,0.682837247848511
"austin",0.460581600666046,0.539418458938599
"australia",0.226398676633835,0.773601353168488
"authentic",0.170808926224709,0.829191088676453
"author",0.128964439034462,0.871035575866699
"authored",0.194778874516487,0.805221140384674
"authoritarian",0.350227445363998,0.649772524833679
"authoritative",0.299787402153015,0.700212597846985
"authority",0.231301993131638,0.76869797706604
"authorize",0.184901252388954,0.815098702907562
"authorized",0.118882775306702,0.881117224693298
"autism",0.194440320134163,0.805559635162354
"autistic",0.1442591547966,0.8557408452034
"auto",0.102916188538074,0.897083818912506
"autocorrect",0.791696786880493,0.208303198218346
"autocorrections",0.698738753795624,0.301261246204376
"autocracy",0.150457963347435,0.849542081356049
"autofill",0.310812562704086,0.689187467098236
"automaker",0.190735533833504,0.809264481067657
"automate",0.169737577438354,0.830262422561646
"automated",0.182919844985008,0.817080140113831
"automatic",0.184478431940079,0.815521597862244
"automatically",0.0660109147429466,0.933989107608795
"automating",0.138136178255081,0.861863851547241
"automation",0.11250413954258,0.887495875358582
"automobile",0.0987095162272453,0.901290476322174
"automotive",0.081978015601635,0.918021976947784
"autonomous",0.1333227455616,0.866677224636078
"autonomously",0.134428769350052,0.865571200847626
"autonomy",0.217850238084793,0.782149732112885
"autopilot",0.0955330803990364,0.904466927051544
"availability",0.053586982190609,0.946413040161133
"avatar",0.240893855690956,0.759106159210205
"ave",0.145615607500076,0.854384422302246
"avenue",0.172812417149544,0.827187538146973
"avenues",0.0865502208471298,0.913449764251709
"avenuetampa",0.27640575170517,0.723594188690186
"average",0.210942894220352,0.789057075977325
"averse",0.393532335758209,0.606467664241791
"aversion",0.728476583957672,0.27152344584465
"avert",0.668799221515656,0.331200778484344
"averting",0.396662205457687,0.60333776473999
"avgo",0.109185099601746,0.890814900398254
"aviation",0.242090135812759,0.757909834384918
"aviv",0.125118657946587,0.874881327152252
"avoid",0.803663730621338,0.19633623957634
"avoidable",0.808441698551178,0.1915582716465
"avoided",0.767671525478363,0.232328489422798
"avoiding",0.712751030921936,0.287249028682709
"aw",0.150260433554649,0.849739551544189
"awacs",0.290960997343063,0.709038972854614
"award",0.0706249251961708,0.929375112056732
"awarded",0.279202967882156,0.720797002315521
"aware",0.0894282534718513,0.910571813583374
"awareness",0.188145354390144,0.811854660511017
"awash",0.39157497882843,0.60842502117157
"awe",0.132603615522385,0.867396354675293
"awesome",0.0174001604318619,0.982599854469299
"awkward",0.908616244792938,0.0913836881518364
"awry",0.196064621210098,0.803935348987579
"axios",0.144969537854195,0.855030477046967
"axis",0.11105302721262,0.888946950435638
"axler",0.235740005970001,0.764259994029999
"az",0.105254873633385,0.894745171070099
"azure",0.259927690029144,0.740072250366211
"baby",0.0648232474923134,0.935176730155945
"bachelor",0.0768587440252304,0.923141181468964
"backdoor",0.471163481473923,0.5288365483284
"backer",0.217419937252998,0.782580077648163
"background",0.149472251534462,0.850527763366699
"backlash",0.927174687385559,0.0728253275156021
"backstop",0.310445994138718,0.68955397605896
"backward",0.16369953751564,0.836300492286682
"bad",0.758290827274323,0.241709187626839
"bag",0.178486227989197,0.821513831615448
"baghdad",0.789167582988739,0.210832431912422
"bait",0.755924701690674,0.244075283408165
"bake",0.376040309667587,0.62395966053009
"baker",0.321734994649887,0.678265035152435
"balance",0.0900727510452271,0.909927248954773
"balances",0.206360563635826,0.793639481067657
"ball",0.144382879137993,0.855617105960846
"ban",0.394317239522934,0.605682730674744
"bandwagon",0.153712660074234,0.846287369728088
"bandwidth",0.137907177209854,0.862092792987823
"banger",0.622118830680847,0.377881169319153
"bank",0.126958832144737,0.873041212558746
"banker",0.254726141691208,0.745273888111115
"banking",0.388014227151871,0.611985802650452
"banned",0.851124703884125,0.148875296115875
"banner",0.550135374069214,0.449864625930786
"banning",0.700556755065918,0.299443244934082
"bar",0.16515702009201,0.834843039512634
"barack",0.708470940589905,0.291529029607773
"barath",0.486177116632462,0.513822853565216
"barclays",0.289772510528564,0.710227489471436
"bard",0.132974967360497,0.867025017738342
"bare",0.604788839817047,0.395211160182953
"barely",0.584364175796509,0.415635854005814
"baron",0.275064557790756,0.724935412406921
"barracuda",0.447666674852371,0.552333354949951
"barred",0.831616342067719,0.168383613228798
"barrel",0.530687630176544,0.469312340021133
"barrier",0.390197962522507,0.609802067279816
